Manipulation,Manipulation_group
,None
+120 gC/m2 POM,Fertilization
+240 gC/m2 POM,Fertilization
+60 gC/m2 POM,Fertilization
Acid rain,Pollution
Alfalfa intercrop,Agriculture cultivation
Altered rainfall timing,Changes in precipitation
Annual fire,Disturbance in substrate supply
"Annual fire, irrigation",Multiple manipulation
Ant mound,Other
Ash,Other
Bare soil,Other
Barley straw residue,Agriculture cultivation
Biochar,Fertilization
Biomass removal,Disturbance in substrate supply
Black carbon,Fertilization
Bluegrass residue,Agriculture cultivation
Broiler litter,Fertilization
"Bruned, thinned",Multiple manipulation
Buried,Other
Burned,Disturbance in substrate supply
"Burned, charcoal removed",Disturbance in substrate supply
"Burned, cleared",Disturbance in substrate supply
"Burned, Drained",Multiple manipulation
"Burned, understory thinned",Multiple manipulation
Burning,Disturbance in substrate supply
"Burning, thinning",Multiple manipulation
Burnt,Disturbance in substrate supply
C. alata addition,Fertilization
CaCl2 added,Fertilization
CaHPO4 added,Fertilization
Cearcut harvest,Disturbance in substrate supply
Chamber,Other
Chisel plow tillage,Agriculture cultivation
Clear-cut,Disturbance in substrate supply
Clear-cut harvest,Disturbance in substrate supply
"Clear-cut, Humus and mineral soil mixed thoroughly to a depth of 30 cm",Multiple manipulation
"Clear-cut, Humus layer removed",Multiple manipulation
"Clear-cut, Layer of humus and mineral soil removed from an independent site and inverted on top of undisturbed soil",Multiple manipulation
Clearcut,Disturbance in substrate supply
Clearcut no slash,Disturbance in substrate supply
Clearcut with slash,Disturbance in substrate supply
"Clearcut, burning",Multiple manipulation
"Clearcut, fertilized",Multiple manipulation
"Clearcut, logging residue",Disturbance in substrate supply
"Clearcut, no residue",Disturbance in substrate supply
"Clearcut, OM",Disturbance in substrate supply
"Clearcut, screefing",Disturbance in substrate supply
"Clearcut, slash burnt",Disturbance in substrate supply
"Clearcut, soil mixing",Disturbance in substrate supply
Clip,Potential problem
Cliped,Potential problem
Clipped,Potential problem
"Clipped, shaded",Potential problem
"Clipped, warmed",Potential problem
"Clipped, Warming",Potential problem
Clipping,Potential problem
CO2,Elevated CO2
"CO2, fertilized",Elevated CO2
"CO2, heated",Elevated CO2
"CO2, irrigated",Elevated CO2
"CO2, nitrogen",Elevated CO2
"CO2, O3",Elevated CO2
Cold season grazing,Agriculture cultivation
Compost,Fertilization
Concrete,Other
Conservation till,Agriculture cultivation
Continuous Flooding,Changes in precipitation
Continuous grazing,Agriculture cultivation
Conventional till,Agriculture cultivation
"Conventional till, fallow",Agriculture cultivation
"Conventional till, fertilized",Agriculture cultivation
"Conventional till, straw",Agriculture cultivation
Conventional till; fertilized,Agriculture cultivation
Conventional tillage,Agriculture cultivation
Conventional Tillage,Agriculture cultivation
"Conventional Tillage, Fertilized",Agriculture cultivation
Corn residue mulch,Agriculture cultivation
Corn straw mulching,Agriculture cultivation
Crop harvest,Agriculture cultivation
Crust removed,Other
Cut,Disturbance in substrate supply
