Record_number,Entry_date,Study_number,Author,Duplicate_record,Quality_flag,Contributor,Country,Region,Site_name,Study_midyear,YearsOfData,Latitude,Longitude,Elevation,Manipulation,Manipulation_level,Age_ecosystem,Age_disturbance,Species,Biome,Ecosystem_type,Ecosystem_state,Leaf_habit,Stage,Soil_type,Soil_drainage,Soil_BD,Soil_CN,Soil_sandsiltclay,MAT,MAP,PET,Study_temp,Study_precip,CO2_method,Partition_method,Rs_annual,Rs_spatial_err,Rs_interann_err,Rs_max,Rs_maxday,Rs_min,Rs_minday,Rlitter_annual,Ra_annual,Rh_annual,RC_annual,Rs_spring,Rs_summer,Rs_autumn,Rs_winter,Rs_growingseason,Rs_wet,Rs_dry,RC_seasonal,RC_season,Model_type,Temp_effect,Model_output_units,Model_temp_range,Model_N,Model_R2,T_depth,Model_paramA,Model_paramB,Model_paramC,Model_paramD,Model_paramE,WC_effect,R10,Q10_0_10,Q10_5_15,Q10_10_20,Q10_0_20,Q10_other1,Q10_other1_range,Q10_other2,Q10_other2_range,GPP,ER,NEP,NPP,ANPP,BNPP,NPP_FR,TBCA,Litter_flux,Rootlitter_flux,TotDet_flux,Ndep,LAI,BA,C_veg_total,C_AG,C_BG,C_CR,C_FR,C_litter,C_soilmineral,C_soildepth,Notes
"1","9/26/2008","2534","Bond-Lamberty","","Q02","BBL","Canada","Manitoba","BOREAS NSA-D1998","2001.5","1.5","56.63","-99.94","","None","","","3","Picea mariana; Pinus banksiana; Populus tremuloides","Boreal","Forest","Natural","Evergreen","Aggrading","Gray luvisol (Boralf)","Medium","","","","0.8","450","","","","IRGA","Exclusion","255","","","","","","","","-7","262","-0.03","","","","","1.30","","","-0.05","Growing","Arrhenius, R=a exp(-b/c(T-d)), T in K","Positive","umol CO2/m2/s","3,22","80","0.82","2","17.450","93.960","1","251.000","","","0.94","3.74","2.54","2.00","2.74","1.50","5,15","1.30","15,25","","","-136.0","111.0","106.0","5.0","5.0","","0.0","5.0","5.0","","0.0","0.0","150","80","120","70","50","","41800","70","LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)"
"2","9/26/2008","2534","Bond-Lamberty","","Q02","BBL","Canada","Manitoba","BOREAS NSA-D1995","2001.5","1.5","56.46","-99.97","","None","","","6","Picea mariana; Pinus banksiana; Populus tremuloides","Boreal","Forest","Natural","Deciduous","Aggrading","Gray luvisol (Boralf)","Dry","","","","0.8","450","","","","IRGA","Exclusion","85","","","","","","","","9","76","0.11","","","","","0.60","","","0.25","Growing","Arrhenius, R=a exp(-b/c(T-d)), T in K","Positive","umol CO2/m2/s","3,22","53","0.75","2","9.790","71.720","1","251.000","","","1.05","2.74","2.04","1.70","2.16","1.50","5,15","1.30","15,25","","","-134.0","188.5","183.5","5.0","20.3","","2.0","20.3","22.3","","0.1","0.5","130","90","70","40","30","","41800","70","LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)"
"3","9/26/2008","2534","Bond-Lamberty","","Q02","BBL","Canada","Manitoba","BOREAS NSA-D1989","2001.5","1.5","55.91","-98.98","","None","","","12","Picea mariana; Pinus banksiana; Populus tremuloides","Boreal","Forest","Natural","Deciduous","Aggrading","Gray luvisol (Boralf)","Medium","","","","0.8","450","","","","IRGA","Exclusion","425","","","3.25","210","0.50","20","","140","285","0.33","","","","","1.98","","","0.40","Growing","Arrhenius, R=a exp(-b/c(T-d)), T in K","Positive","umol CO2/m2/s","3,22","82","0.84","2","7.000","55.540","1","251.000","","","1.24","2.18","1.73","1.51","1.81","1.50","5,15","1.30","15,25","","","-2.0","366.5","354.1","12.5","12.8","","17.5","12.8","30.3","","0.0","0.0","470","400","120","70","50","","41800","70","LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)"
"4","9/26/2008","2534","Bond-Lamberty","","Q02","BBL","Canada","Manitoba","BOREAS NSA-D1981","2001.5","1.5","55.86","-98.48","","None","","","20","Picea mariana; Pinus banksiana; Populus tremuloides","Boreal","Forest","Natural","Mix","Aggrading","Gray luvisol (Boralf)","Dry","","","","0.8","450","","","","IRGA","Exclusion","551","","","","","","","","166","385","0.30","","","","","2.75","","","0.30","Growing","Arrhenius, R=a exp(-b/c(T-d)), T in K","Positive","umol CO2/m2/s","3,22","67","0.80","2","19.040","80.340","1","251.000","","","1.56","3.09","2.22","1.81","2.36","1.50","5,15","1.30","15,25","","","43.0","403.0","363.4","39.7","22.6","","31.3","22.6","53.9","","0.9","4.1","930","700","350","230","120","","41800","70","LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)"
"5","9/26/2008","2534","Bond-Lamberty","","Q02","BBL","Canada","Manitoba","BOREAS NSA-D1964","2001.5","1.5","55.92","-98.39","","None","","","37","Picea mariana; Pinus banksiana; Populus tremuloides","Boreal","Forest","Natural","Evergreen","Aggrading","Gray luvisol (Boralf)","Medium","","","","0.8","450","","","","IRGA","Exclusion","484","","","","","","","","106","378","0.22","","","","","2.20","","","0.24","Growing","Arrhenius, R=a exp(-b/c(T-d)), T in K","Positive","umol CO2/m2/s","3,22","96","0.91","2","24.750","85.600","1","251.000","","","1.73","3.33","2.34","1.88","2.50","1.50","5,15","1.30","15,25","","","97.0","432.0","377.2","54.9","36.0","","30.8","36.0","66.8","","1.8","11.6","2100","1500","800","600","200","","41800","70","LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)"
"6","9/26/2008","2534","Bond-Lamberty","","Q02","BBL","Canada","Manitoba","BOREAS NSA-D1930","2001.5","1.5","55.91","-98.52","","None","","","71","Picea mariana","Boreal","Forest","Natural","Evergreen","Mature","Gray luvisol (Boralf)","Medium","","","","0.8","450","","","","IRGA","Exclusion","540","","","","","","","","146","394","0.27","","","","","2.27","","","0.22","Growing","Arrhenius, R=a exp(-b/c(T-d)), T in K","Positive","umol CO2/m2/s","3,22","92","0.90","2","12.720","65.100","1","251.000","","","1.68","2.49","1.91","1.62","2.01","1.50","5,15","1.30","15,25","","","112.0","362.0","202.6","159.4","78.7","","59.6","78.7","138.3","","6.8","36.7","6470","5500","1220","970","250","","41800","70","LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)"
"7","9/26/2008","2534","Bond-Lamberty","","Q02","BBL","Canada","Manitoba","BOREAS NSA-D1850; NOBS","2001.5","1.5","55.88","-98.48","","None","","","151","Picea mariana","Boreal","Forest","Natural","Evergreen","Mature","Gray luvisol (Boralf)","Medium","","","","0.8","450","","","","IRGA","Exclusion","375","","","","","","","","46","329","0.12","","","","","1.85","","","0.13","Growing","Arrhenius, R=a exp(-b/c(T-d)), T in K","Positive","umol CO2/m2/s","3,22","62","0.90","2","5.100","40.270","1","251.000","","","1.46","1.76","1.49","1.35","1.54","1.50","5,15","1.30","15,25","","","-19.0","211.0","147.1","63.9","74.5","","33.5","74.5","108.1","","5.3","42.2","8330","7100","1430","1230","200","","41800","70","LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)"
"8","9/26/2008","2534","Bond-Lamberty","","Q02","BBL","Canada","Manitoba","BOREAS NSA-W1998","2001.5","1.5","56.63","-99.94","","None","","","3","Picea mariana; Pinus banksiana; Populus tremuloides","Boreal","Forest","Natural","Evergreen","Aggrading","Luvic gleysol (Aqualf)","Wet","","","","0.8","450","","","","IRGA","Exclusion","137","","","","","","","","3","134","0.02","","","","","0.66","","","-0.05","Growing","Arrhenius, R=a exp(-b/c(T-d)), T in K","Positive","umol CO2/m2/s","3,22","80","0.82","2","17.450","93.960","1","251.000","","","0.94","3.74","2.54","2.00","2.74","1.50","5,15","1.30","15,25","","","-76.0","74.0","68.0","6.0","4.3","","0.0","4.3","4.3","","0.0","0.0","60","20","70","40","30","","","","LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)"
"9","9/26/2008","2534","Bond-Lamberty","","Q02","BBL","Canada","Manitoba","BOREAS NSA-W1995","2001.5","1.5","56.46","-99.98","","None","","","6","Picea mariana; Pinus banksiana; Populus tremuloides","Boreal","Forest","Natural","Deciduous","Aggrading","Luvic gleysol (Aqualf)","Wet","","","","0.8","450","","","","IRGA","Exclusion","513","","","","","","","","15","498","0.03","","","","","2.36","","","0.09","Growing","Arrhenius, R=a exp(-b/c(T-d)), T in K","Positive","umol CO2/m2/s","3,22","53","0.75","2","9.790","71.720","1","251.000","","","1.05","2.74","2.04","1.70","2.16","1.50","5,15","1.30","15,25","","","131.0","490.0","456.4","33.6","34.6","","1.0","34.6","35.6","","0.0","0.0","400","100","450","300","150","","","","LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)"
"10","9/26/2008","2534","Bond-Lamberty","","Q02","BBL","Canada","Manitoba","BOREAS NSA-W1989","2001.5","1.5","55.90","-98.98","","None","","","12","Picea mariana; Pinus banksiana; Populus tremuloides","Boreal","Forest","Natural","Deciduous","Aggrading","Luvic gleysol (Aqualf)","Wet","","","","0.8","450","","","","IRGA","Exclusion","337","","","","","","","","98","239","0.29","","","","","1.65","","","0.27","Growing","Arrhenius, R=a exp(-b/c(T-d)), T in K","Positive","umol CO2/m2/s","3,22","82","0.84","2","7.000","55.540","1","251.000","","","1.24","2.18","1.73","1.51","1.81","1.50","5,15","1.30","15,25","","","-30.0","261.0","223.3","37.7","30.6","","5.2","30.6","35.8","","0.0","0.0","610","350","390","260","130","","","","LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)"
