Study_number,Site_ID,Study_midyear,Latitude,Longitude,Elevation,Manipulation,Biome,Ecosystem_type,Leaf_habit,Soil_type,Soil_BD,Soil_CN,Soil_sand,Soil_silt,Soil_clay,MAT,MAP,PET,Study_temp,Study_precip,Meas_method,Collar_height,Collar_depth,Chamber_area,Time_of_day,Meas_interval,Annual_coverage,Partition_method,Rs_annual,Ra_annual,Rh_annual,RC_annual,C_soilmineral,Meas_Year
17,GB-ROT,1962,51.81,-0.36,NA,None,Temperate,Agriculture,Deciduous,,NA,NA,NA,NA,NA,10,687,NA,NA,NA,Soda lime,NA,NA,400,,4.5,1,Comparison,400,194,206,0.49,15400,1961
148,US-TOR,1977,35.99,-84.29,NA,None,Temperate,Forest,Deciduous,Emory cherty silt loam,NA,NA,NA,NA,NA,13.3,1265,NA,NA,NA,IRGA,NA,NA,NA,,14,1,Extraction,1065,373,692,0.35,12850,1974
313,US-TOR-CK,1981,35.99,-84.29,NA,None,Temperate,Forest,Deciduous,Typic Paleudults,NA,NA,NA,NA,NA,14,1500,NA,NA,NA,Soda lime,12,NA,660,,30,1,Extraction,529,504,25,0.95,3300,1979
313,US-TOR-CK,1981,35.99,-84.29,NA,None,Temperate,Forest,Deciduous,Typic Paleudults,NA,NA,NA,NA,NA,14,1500,NA,NA,NA,Soda lime,12,NA,660,,30,1,Extraction,529,504,25,0.95,3300,1980
316,JP-FUC-CK,1980,34.38,132.45,NA,None,Temperate,Forest,Evergreen,Sandy loam,NA,NA,NA,NA,NA,15,1544,NA,NA,NA,KOH trap,NA,NA,NA,,15,1,Comparison,1299,525,774,0.4,NA,1981
586,IN-SPU,1985,21.5,83.5,NA,None,Tropical,Forest,Evergreen,Sandy loam (red lateritic),1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alkali absorption,25,5,176.63,,NA,NA,Regression,NA,NA,NA,NA,NA,1988
594,AU-SRT,1988,-36.43333333,145.23,114,None,Temperate,Agriculture,Deciduous,Sandy loam (Rhodoxeralf),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IRGA,5,3,314,,NA,NA,,NA,NA,NA,NA,NA,1986
596,AU-LRS,1985,-18.97,146.17,NA,None,Temperate,Desert,Deciduous,Yellow earths or Palaeostalfs,NA,NA,NA,NA,NA,23.6,850,NA,NA,NA,Gas chromatography,15,2.5,452.16,,30,1,Comparison,380,150,230,0.39,NA,1986
1017,AR-PES-CT,1992,-33.93,-60.57,NA,"Herbicide, disk till",Temperate,Agriculture,Deciduous,Silty clay (Typic Arguidoll),NA,NA,14,40,41,NA,NA,NA,NA,1240,Soda lime,15,5,50.24,,30,1,Exclusion,1040,265,775,0.25,NA,1993
1271,US-HAF-CK,1994,42.5,-72.2,NA,None,Temperate,Forest,Deciduous,Sandy loam,NA,NA,NA,NA,NA,6,1100,NA,NA,NA,IRGA,NA,NA,NA,,10,0.67,,932,NA,NA,NA,NA,1995
